ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291081,Podiatrists,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291122,Occupational Therapists,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291125,Recreational Therapists,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291127,Speech-Language Pathologists,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291181,Audiologists,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291199,"Health Diagnosing and Treating Practitioners, All Other",0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,292051,Dietetic Technicians,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,299092,Genetic Counselors,0,,
Nursing associate professionals,3231,292061,Licensed Practical and Licensed Vocational Nurses,0,,
Midwifery associate professionals,3232,299099,"Healthcare Practitioners and Technical Workers, All Other",0,,
Traditional medicine practitioners,3241,291199,"Health Diagnosing and Treating Practitioners, All Other",0,,
Traditional medicine practitioners,3241,299099,"Healthcare Practitioners and Technical Workers, All Other",0,,
Faith healers,3242,212099,"Religious Workers, All Other",0,,
Primary education teaching associate professionals,3310,252021,"Elementary School Teachers, Except Special Education",0,,
Pre-primary education teaching associate professionals,3320,252011,"Preschool Teachers, Except Special Education",0,,
Special education teaching associate professionals,3330,252051,"Special Education Teachers, Preschool",0,,
Special education teaching associate professionals,3330,252052,"Special Education Teachers, Kindergarten and Elementary School",0,,
Special education teaching associate professionals,3330,252053,"Special Education Teachers, Middle School",0,,
Special education teaching associate professionals,3330,252054,"Special Education Teachers, Secondary School",0,,
Other teaching associate professionals,3340,131151,Training and Development Specialists,0,,
Other teaching associate professionals,3340,211012,"Educational, Guidance, School, and Vocational Counselors",0,,
Other teaching associate professionals,3340,253011,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,0,,
Other teaching associate professionals,3340,253021,Self-Enrichment Education Teachers,1,,
Other teaching associate professionals,3340,253099,"Teachers and Instructors, All Other",1,,
Other teaching associate professionals,3340,399031,Fitness Trainers and Aerobics Instructors,0,,
Securities and finance dealers and brokers,3411,132052,Personal Financial Advisors,0,,
Securities and finance dealers and brokers,3411,411012,First-Line Supervisors of Non-Retail Sales Workers,0,,
Securities and finance dealers and brokers,3411,413031,"Securities, Commodities, and Financial Services Sales Agents",0,,
Insurance representatives,3412,132053,Insurance Underwriters,0,,
Insurance representatives,3412,411012,First-Line Supervisors of Non-Retail Sales Workers,0,,
Insurance representatives,3412,413021,Insurance Sales Agents,0,,
Estate agents,3413,119141,"Property, Real Estate, and Community Association Managers",0,,
Estate agents,3413,411012,First-Line Supervisors of Non-Retail Sales Workers,0,,
Estate agents,3413,419021,Real Estate Brokers,0,,
Estate agents,3413,419022,Real Estate Sales Agents,0,,
Travel consultants and organisers,3414,434181,Reservation and Transportation Ticket Agents and Travel Clerks,0,,
Technical and commercial sales representatives,3415,411012,First-Line Supervisors of Non-Retail Sales Workers,2,,
Technical and commercial sales representatives,3415,413099,"Sales Representatives, Services, All Other",0,,
Technical and commercial sales representatives,3415,414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,,
Technical and commercial sales representatives,3415,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0,,
Technical and commercial sales representatives,3415,419031,Sales Engineers,0,,
Buyers,3416,131021,"Buyers and Purchasing Agents, Farm Products",0,,
Buyers,3416,131022,"Wholesale and Retail Buyers, Except Farm Products",0,,
Buyers,3416,131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,
"Appraisers, valuers and auctioneers",3417,131032,"Insurance Appraisers, Auto Damage",0,,
"Appraisers, valuers and auctioneers",3417,132021,Appraisers and Assessors of Real Estate,0,,
Finance and sales associate professionals not elsewhere classified,3419,132071,Credit Counselors,0,,
Finance and sales associate professionals not elsewhere classified,3419,132072,Loan Officers,0,,
Trade brokers,3421,411012,First-Line Supervisors of Non-Retail Sales Workers,0,,
Trade brokers,3421,413031,"Securities, Commodities, and Financial Services Sales Agents",0,,
Trade brokers,3421,435011,Cargo and Freight Agents,0,,
Clearing and forwarding agents,3422,435011,Cargo and Freight Agents,0,,
Clearing and forwarding agents,3422,435071,"Shipping, Receiving, and Traffic Clerks",0,,
Employment agents and labour contractors,3423,131071,Human Resources Specialists,0,,
Employment agents and labour contractors,3423,131074,Farm Labor Contractors,0,,
Business services agents and trade brokers not elsewhere classified,3429,131051,Cost Estimators,0,,
Business services agents and trade brokers not elsewhere classified,3429,131199,"Business Operations Specialists, All Other",0,,
Business services agents and trade brokers not elsewhere classified,3429,411012,First-Line Supervisors of Non-Retail Sales Workers,0,,
Business services agents and trade brokers not elsewhere classified,3429,413011,Advertising Sales Agents,0,,
Business services agents and trade brokers not elsewhere classified,3429,413041,Travel Agents,0,,
Business services agents and trade brokers not elsewhere classified,3429,419099,"Sales and Related Workers, All Other",0,,
,3430,131199,"Business Operations Specialists, All Other",0,,
Administrative secretaries and related associate professionals,3431,319094,Medical Transcriptionists,0,,
Administrative secretaries and related associate professionals,3431,431011,First-Line Supervisors of Office and Administrative Support Workers,0,,
Administrative secretaries and related associate professionals,3431,436011,Executive Secretaries and Executive Administrative Assistants,0,,
Administrative secretaries and related associate professionals,3431,436012,Legal Secretaries,0,,
Legal and related business associate professionals,3432,232099,"Legal Support Workers, All Other",0,,
Bookkeepers,3433,433031,"Bookkeeping, Accounting, and Auditing Clerks",0,,
"Statistical, mathematical and related associate professionals",3434,152091,Mathematical Technicians,0,,
"Statistical, mathematical and related associate professionals",3434,152099,"Mathematical Science Occupations, All Other",0,,
"Statistical, mathematical and related associate professionals",3434,194061,Social Science Research Assistants,0,,
"Statistical, mathematical and related associate professionals",3434,439111,Statistical Assistants,0,,
Administrative associate professionals not elsewhere classified,3439,131121,"Meeting, Convention, and Event Planners",0,,
