ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Market-oriented crop and animal producers,6130,452021,Animal Breeders,0,,
Market-oriented crop and animal producers,6130,452091,Agricultural Equipment Operators,0,,
Forestry workers and loggers,6141,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2,,
Charcoal burners and related workers,6142,454011,Forest and Conservation Workers,0,,
Charcoal burners and related workers,6142,454021,Fallers,0,,
Charcoal burners and related workers,6142,454023,Log Graders and Scalers,0,,
Charcoal burners and related workers,6142,454029,"Logging Workers, All Other",0,,
Aquatic-life cultivation workers,6151,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,,
Inland and coastal waters fishery workers,6152,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,,
Inland and coastal waters fishery workers,6152,499092,Commercial Divers,0,,
Deep-sea fishery workers,6153,453011,Fishers and Related Fishing Workers,0,,
Hunters and trappers,6154,453021,Hunters and Trappers,0,,
Subsistence agricultural and fishery workers,6210,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1,,
Subsistence agricultural and fishery workers,6210,452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,,
Subsistence agricultural and fishery workers,6210,453011,Fishers and Related Fishing Workers,0,,
Subsistence agricultural and fishery workers,6210,453021,Hunters and Trappers,0,,
Miners and quarry workers,7111,475021,"Earth Drillers, Except Oil and Gas",0,,
Miners and quarry workers,7111,475041,Continuous Mining Machine Operators,0,,
Miners and quarry workers,7111,475049,"Mining Machine Operators, All Other",0,,
Miners and quarry workers,7111,475051,"Rock Splitters, Quarry",0,,
Miners and quarry workers,7111,475061,"Roof Bolters, Mining",0,,
Miners and quarry workers,7111,537032,Excavating and Loading Machine and Dragline Operators,0,,
Miners and quarry workers,7111,537033,"Loading Machine Operators, Underground Mining",0,,
Shotfirers and blasters,7112,475031,"Explosives Workers, Ordnance Handling Experts, and Blasters",0,,
"Stone splitters, cutters and carvers",7113,472022,Stonemasons,0,,
"Builders, traditional materials",7121,472021,Brickmasons and Blockmasons,0,,
Bricklayers and stonemasons,7122,472021,Brickmasons and Blockmasons,0,,
Bricklayers and stonemasons,7122,474091,Segmental Pavers,0,,
Bricklayers and stonemasons,7122,499045,"Refractory Materials Repairers, Except Brickmasons",0,,
"Concrete placers, concrete finishers and related workers",7123,472051,Cement Masons and Concrete Finishers,0,,
"Concrete placers, concrete finishers and related workers",7123,472053,Terrazzo Workers and Finishers,0,,
"Concrete placers, concrete finishers and related workers",7123,474091,Segmental Pavers,0,,
Carpenters and joiners,7124,472031,Carpenters,0,,
Building frame and related trades workers not elsewhere classified,7129,472231,Solar Photovoltaic Installers,0,,
Building frame and related trades workers not elsewhere classified,7129,474031,Fence Erectors,0,,
Building frame and related trades workers not elsewhere classified,7129,474041,Hazardous Materials Removal Workers,0,,
Building frame and related trades workers not elsewhere classified,7129,474099,"Construction and Related Workers, All Other",0,,
Building frame and related trades workers not elsewhere classified,7129,499095,Manufactured Building and Mobile Home Installers,0,,
,7130,472031,Carpenters,1,,
Roofers,7131,472181,Roofers,0,,
Floor layers and tile setters,7132,472041,Carpet Installers,0,,
Floor layers and tile setters,7132,472042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0,,
Floor layers and tile setters,7132,472043,Floor Sanders and Finishers,0,,
Floor layers and tile setters,7132,472044,Tile and Marble Setters,0,,
Plasterers,7133,472081,Drywall and Ceiling Tile Installers,0,,
Plasterers,7133,472082,Tapers,0,,
Plasterers,7133,472161,Plasterers and Stucco Masons,0,,
Insulation workers,7134,472131,"Insulation Workers, Floor, Ceiling, and Wall",0,,
Insulation workers,7134,472132,"Insulation Workers, Mechanical",0,,
Glaziers,7135,472121,Glaziers,0,,
Plumbers and pipe fitters,7136,472151,Pipelayers,0,,
Plumbers and pipe fitters,7136,472152,"Plumbers, Pipefitters, and Steamfitters",0,,
Building and related electricians,7137,472111,Electricians,0,,
Building and related electricians,7137,472231,Solar Photovoltaic Installers,0,,
Painters and related workers,7141,472141,"Painters, Construction and Maintenance",0,,
Painters and related workers,7141,472142,Paperhangers,0,,
Varnishers and related painters,7142,519121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0,,
Varnishers and related painters,7142,519122,"Painters, Transportation Equipment",0,,
Building structure cleaners,7143,372019,"Building Cleaning Workers, All Other",0,,
Building structure cleaners,7143,372021,Pest Control Workers,0,,
Building structure cleaners,7143,373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0,,
,7210,514121,"Welders, Cutters, Solderers, and Brazers",3,,
Metal moulders and coremakers,7211,514071,Foundry Mold and Coremakers,0,,
Metal moulders and coremakers,7211,514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Welders and flamecutters,7212,514121,"Welders, Cutters, Solderers, and Brazers",0,,
Welders and flamecutters,7212,514122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0,,
Sheet-metal workers,7213,472011,Boilermakers,0,,
Sheet-metal workers,7213,472211,Sheet Metal Workers,0,,
Sheet-metal workers,7213,514192,"Layout Workers, Metal and Plastic",0,,
